cases,cumulative_cases,date_report,province
1,1,2020-01-25,Canada
0,1,2020-01-26,Canada
1,2,2020-01-27,Canada
1,3,2020-01-28,Canada
0,3,2020-01-29,Canada
0,3,2020-01-30,Canada
1,4,2020-01-31,Canada
0,4,2020-02-01,Canada
0,4,2020-02-02,Canada
0,4,2020-02-03,Canada
1,5,2020-02-04,Canada
0,5,2020-02-05,Canada
2,7,2020-02-06,Canada
0,7,2020-02-07,Canada
0,7,2020-02-08,Canada
0,7,2020-02-09,Canada
0,7,2020-02-10,Canada
0,7,2020-02-11,Canada
0,7,2020-02-12,Canada
0,7,2020-02-13,Canada
1,8,2020-02-14,Canada
0,8,2020-02-15,Canada
0,8,2020-02-16,Canada
0,8,2020-02-17,Canada
0,8,2020-02-18,Canada
0,8,2020-02-19,Canada
1,9,2020-02-20,Canada
0,9,2020-02-21,Canada
0,9,2020-02-22,Canada
1,10,2020-02-23,Canada
1,11,2020-02-24,Canada
0,11,2020-02-25,Canada
1,12,2020-02-26,Canada
2,14,2020-02-27,Canada
2,16,2020-02-28,Canada
4,20,2020-02-29,Canada
4,24,2020-03-01,Canada
0,24,2020-03-02,Canada
9,33,2020-03-03,Canada
1,34,2020-03-04,Canada
12,46,2020-03-05,Canada
8,54,2020-03-06,Canada
6,60,2020-03-07,Canada
7,67,2020-03-08,Canada
19,86,2020-03-09,Canada
9,95,2020-03-10,Canada
21,116,2020-03-11,Canada
40,156,2020-03-12,Canada
42,198,2020-03-13,Canada
59,257,2020-03-14,Canada
84,341,2020-03-15,Canada
100,441,2020-03-16,Canada
156,597,2020-03-17,Canada
130,727,2020-03-18,Canada
146,873,2020-03-19,Canada
214,1087,2020-03-20,Canada
244,1331,2020-03-21,Canada
140,1471,2020-03-22,Canada
620,2091,2020-03-23,Canada
728,2819,2020-03-24,Canada
589,3408,2020-03-25,Canada
634,4042,2020-03-26,Canada
714,4756,2020-03-27,Canada
898,5654,2020-03-28,Canada
665,6319,2020-03-29,Canada
1127,7446,2020-03-30,Canada
1143,8589,2020-03-31,Canada
1599,10188,2020-04-01,Canada
1587,11775,2020-04-02,Canada
1200,12975,2020-04-03,Canada
1429,14404,2020-04-04,Canada
1508,15912,2020-04-05,Canada
1246,17158,2020-04-06,Canada
1400,18558,2020-04-07,Canada
1292,19850,2020-04-08,Canada
1549,21399,2020-04-09,Canada
1313,22712,2020-04-10,Canada
1246,23958,2020-04-11,Canada
1093,25051,2020-04-12,Canada
1374,26425,2020-04-13,Canada
1460,27885,2020-04-14,Canada
1346,29231,2020-04-15,Canada
1732,30963,2020-04-16,Canada
