"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Domestic and international Itinerant movements, by type of operation, airports with NAV CANADA towers, monthly","23100008","401-0013","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310000801",,"CURRENT - a cube available to the public and that is current","Monthly","1997-01-01","2021-09-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Airports",,""
"3","Domestic and international itinerant movements",1,""
"4","Type of operation",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","Total, all airports","","1","","",,
"2","Abbotsford, British Columbia","","2","1","",,
"2","Boundary Bay, British Columbia","","3","1","",,
"2","Calgary International, Alberta","","4","1","",,
"2","Calgary/Springbank, Alberta","","5","1","",,
"2","Chicoutimi/St-Honoré, Quebec","","6","1","",,
"2","Edmonton City Centre, Alberta","","7","1","t",,
"2","Edmonton International, Alberta","","8","1","",,
"2","Edmonton/Villeneuve, Alberta","","9","1","",,
"2","Gander International, Newfoundland and Labrador","","10","1","",,
"2","Halifax/Robert L. Stanfield International, Nova Scotia","","11","1","",,
"2","Hamilton, Ontario","","12","1","",,
"2","Kelowna, British Columbia","","13","1","",,
"2","Kitchener/Waterloo, Ontario","","14","1","",,
"2","Langley, British Columbia","","15","1","",,
"2","London, Ontario","","16","1","",,
"2","Moncton/Greater Moncton International, New Brunswick","","17","1","",,
"2","Montréal/Mirabel International, Quebec","","18","1","",3,
"2","Montréal/Pierre Elliott Trudeau International, Quebec","","19","1","",,
"2","Montréal/St-Hubert, Quebec","","20","1","",,
"2","Oshawa, Ontario","","21","1","",,
"2","Ottawa/Macdonald-Cartier International, Ontario","","22","1","",,
"2","Pitt Meadows, British Columbia","","23","1","",,
"2","Prince George, British Columbia","","24","1","",,
"2","Québec/Jean Lesage International, Quebec","","25","1","",,
"2","Regina International, Saskatchewan","","26","1","",,
"2","Saskatoon/John G. Diefenbaker International, Saskatchewan","","27","1","",,
"2","Sault Ste. Marie, Ontario","","28","1","",,
"2","St. John's International, Newfoundland and Labrador","","29","1","",,
"2","St-Jean, Quebec","","30","1","",,
"2","Sudbury, Ontario","","31","1","t",,
"2","Thunder Bay, Ontario","","32","1","",,
"2","Toronto/Buttonville Municipal, Ontario","","33","1","t",2,
"2","Toronto/Billy Bishop Toronto City, Ontario","","34","1","",,
"2","Toronto/Lester B. Pearson International, Ontario","","35","1","",,
"2","Vancouver Harbour, British Columbia","","36","1","",,
"2","Vancouver International, British Columbia","","37","1","",,
"2","Victoria International, British Columbia","","38","1","",,
"2","Whitehorse International, Yukon","","39","1","",,
"2","Windsor, Ontario","","40","1","",,
"2","Winnipeg/James Armstrong Richardson International, Manitoba","","41","1","",,
"2","Winnipeg/St. Andrews, Manitoba","","42","1","",,
"2","Yellowknife, Northwest Territories","","43","1","",,
"2","North Bay, Ontario","","44","1","t",,
"2","Sept-Îles, Quebec","","45","1","t",,
"2","Fort McMurray, Alberta","","46","1","",,
"2","Fredericton International, New Brunswick","","47","1","",,
"2","Red Deer Regional, Alberta
","","48","1","",,
"3","Domestic movements","","1","","",,
"3","Transborder movements","","2","","",,
"3","Other international movements","","3","","",,
"4","Total itinerant movements","","1","","",,
"4","Air carrier movements, level I-III including foreign air carriers","","2","1","",,
"4","Air carrier movements, level IV-VI","","3","1","",,
"4","Other commercial movements","","4","1","",,
"4","Private movements","","5","1","",,
"4","Government civil movements","","6","1","",,
"4","Government military movements","","7","1","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"2715","Aircraft Movement Statistics"

"Subject Code","Subject Name"
"23","Transportation"

"Note ID",Note
3,"Data for the period between December 2008 and January 2020 are available in tables 23-10-0009-01 through 23-10-0015-01."
2,"Starting in January 2019, data for Toronto/Buttonville Municipal Airport, Ontario, will no longer be available in tables 23-10-0002-01 to 23-10-0008-01. Data prior to January 2019 will continue to be available."
1,"International movements are subclassified into transborder movements (to or from a point in the United States including Alaska, Hawaii and Puerto Rico) and other international movements (to or from points in countries other than Canada and the United States)."

"Correction ID","Correction Date","Correction Note"
